ruta,entregable,herramienta_inferida,historia,archivo,extension,ancho_px,alto_px
images/entregable_E/ideogram/H3_refined_with_reference/H3_S01_ideogram_refined_with_reference_v02.jpeg,entregable_E,ideogram,H3,H3_S01_ideogram_refined_with_reference_v02.jpeg,.jpeg,1376,768
images/entregable_E/ideogram/H3_refined_with_reference/H3_S01_ideogram_refined_with_reference_v03.jpeg,entregable_E,ideogram,H3,H3_S01_ideogram_refined_with_reference_v03.jpeg,.jpeg,1376,768
images/entregable_E/ideogram/H3_refined_with_reference/H3_S01_ideogram_refined_with_reference_v04.jpeg,entregable_E,ideogram,H3,H3_S01_ideogram_refined_with_reference_v04.jpeg,.jpeg,1376,768
images/entregable_E/ideogram/H3_refined_with_reference/H3_S04_ideogram_refined_with_reference_v01.jpeg,entregable_E,ideogram,H3,H3_S04_ideogram_refined_with_reference_v01.jpeg,.jpeg,1376,768
images/entregable_E/ideogram/H3_refined_with_reference/H3_S04_ideogram_refined_with_reference_v02.jpeg,entregable_E,ideogram,H3,H3_S04_ideogram_refined_with_reference_v02.jpeg,.jpeg,1376,768
images/entregable_E/ideogram/H3_refined_with_reference/H3_S04_ideogram_refined_with_reference_v03.jpeg,entregable_E,ideogram,H3,H3_S04_ideogram_refined_with_reference_v03.jpeg,.jpeg,1376,768
images/entregable_E/ideogram/H3_refined_with_reference/H3_S04_ideogram_refined_with_reference_v04.jpeg,entregable_E,ideogram,H3,H3_S04_ideogram_refined_with_reference_v04.jpeg,.jpeg,1376,768
images/entregable_E/ideogram/H3_refined_with_reference/H3_S07_ideogram_refined_with_reference_v01.jpeg,entregable_E,ideogram,H3,H3_S07_ideogram_refined_with_reference_v01.jpeg,.jpeg,1376,768
images/entregable_E/ideogram/H3_refined_with_reference/H3_S07_ideogram_refined_with_reference_v02.jpeg,entregable_E,ideogram,H3,H3_S07_ideogram_refined_with_reference_v02.jpeg,.jpeg,1376,768
images/entregable_E/ideogram/H3_refined_with_reference/H3_S07_ideogram_refined_with_reference_v03.jpeg,entregable_E,ideogram,H3,H3_S07_ideogram_refined_with_reference_v03.jpeg,.jpeg,1376,768
images/entregable_E/ideogram/H3_refined_with_reference/H3_S07_ideogram_refined_with_reference_v04.jpeg,entregable_E,ideogram,H3,H3_S07_ideogram_refined_with_reference_v04.jpeg,.jpeg,1376,768
images/entregable_E/chatgpt/H3_baseline/H3_S01_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S01_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_baseline/H3_S02_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S02_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_baseline/H3_S03_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S03_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_baseline/H3_S04_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S04_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_baseline/H3_S05_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S05_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_baseline/H3_S06_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S06_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_baseline/H3_S06_chatgpt_v02.png,entregable_E,chatgpt,H3,H3_S06_chatgpt_v02.png,.png,1536,1024
images/entregable_E/chatgpt/H3_baseline/H3_S06_chatgpt_v03.png,entregable_E,chatgpt,H3,H3_S06_chatgpt_v03.png,.png,1536,1024
images/entregable_E/chatgpt/H3_baseline/H3_S07_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S07_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_baseline/H3_S08_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S08_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_chatgpt_baseline/H3_S01_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S01_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_chatgpt_baseline/H3_S02_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S02_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_chatgpt_baseline/H3_S03_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S03_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_chatgpt_baseline/H3_S04_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S04_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_chatgpt_baseline/H3_S05_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S05_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_chatgpt_baseline/H3_S06_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S06_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_chatgpt_baseline/H3_S06_chatgpt_v02.png,entregable_E,chatgpt,H3,H3_S06_chatgpt_v02.png,.png,1536,1024
images/entregable_E/chatgpt/H3_chatgpt_baseline/H3_S06_chatgpt_v03.png,entregable_E,chatgpt,H3,H3_S06_chatgpt_v03.png,.png,1536,1024
images/entregable_E/chatgpt/H3_chatgpt_baseline/H3_S07_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S07_chatgpt_v01.png,.png,1536,1024
images/entregable_E/chatgpt/H3_chatgpt_baseline/H3_S08_chatgpt_v01.png,entregable_E,chatgpt,H3,H3_S08_chatgpt_v01.png,.png,1536,1024
images/entregable_D/H3_Leonardo_v1_2/H3_S01_leonardo_phoenix_v01.jpg,entregable_D,leonardo,H3,H3_S01_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S01_leonardo_phoenix_v02.jpg,entregable_D,leonardo,H3,H3_S01_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S01_leonardo_phoenix_v03.jpg,entregable_D,leonardo,H3,H3_S01_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S01_leonardo_phoenix_v04.jpg,entregable_D,leonardo,H3,H3_S01_leonardo_phoenix_v04.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S02_leonardo_phoenix_v01.jpg,entregable_D,leonardo,H3,H3_S02_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S02_leonardo_phoenix_v02.jpg,entregable_D,leonardo,H3,H3_S02_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S02_leonardo_phoenix_v03.jpg,entregable_D,leonardo,H3,H3_S02_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S02_leonardo_phoenix_v04.jpg,entregable_D,leonardo,H3,H3_S02_leonardo_phoenix_v04.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S03_leonardo_phoenix_v01.jpg,entregable_D,leonardo,H3,H3_S03_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S03_leonardo_phoenix_v02.jpg,entregable_D,leonardo,H3,H3_S03_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S03_leonardo_phoenix_v03.jpg,entregable_D,leonardo,H3,H3_S03_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S03_leonardo_phoenix_v04.jpg,entregable_D,leonardo,H3,H3_S03_leonardo_phoenix_v04.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S04_leonardo_phoenix_v01.jpg,entregable_D,leonardo,H3,H3_S04_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S04_leonardo_phoenix_v02.jpg,entregable_D,leonardo,H3,H3_S04_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S04_leonardo_phoenix_v03.jpg,entregable_D,leonardo,H3,H3_S04_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S04_leonardo_phoenix_v04.jpg,entregable_D,leonardo,H3,H3_S04_leonardo_phoenix_v04.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S05_leonardo_phoenix_v01.jpg,entregable_D,leonardo,H3,H3_S05_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S05_leonardo_phoenix_v02.jpg,entregable_D,leonardo,H3,H3_S05_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S05_leonardo_phoenix_v03.jpg,entregable_D,leonardo,H3,H3_S05_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S05_leonardo_phoenix_v04.jpg,entregable_D,leonardo,H3,H3_S05_leonardo_phoenix_v04.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S06_leonardo_phoenix_v01.jpg,entregable_D,leonardo,H3,H3_S06_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S06_leonardo_phoenix_v02.jpg,entregable_D,leonardo,H3,H3_S06_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S06_leonardo_phoenix_v03.jpg,entregable_D,leonardo,H3,H3_S06_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S06_leonardo_phoenix_v04.jpg,entregable_D,leonardo,H3,H3_S06_leonardo_phoenix_v04.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S07_leonardo_phoenix_v01.jpg,entregable_D,leonardo,H3,H3_S07_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S07_leonardo_phoenix_v02.jpg,entregable_D,leonardo,H3,H3_S07_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S07_leonardo_phoenix_v03.jpg,entregable_D,leonardo,H3,H3_S07_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S07_leonardo_phoenix_v04.jpg,entregable_D,leonardo,H3,H3_S07_leonardo_phoenix_v04.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S08_leonardo_phoenix_v01.jpg,entregable_D,leonardo,H3,H3_S08_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S08_leonardo_phoenix_v02.jpg,entregable_D,leonardo,H3,H3_S08_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S08_leonardo_phoenix_v03.jpg,entregable_D,leonardo,H3,H3_S08_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_D/H3_Leonardo_v1_2/H3_S08_leonardo_phoenix_v04.jpg,entregable_D,leonardo,H3,H3_S08_leonardo_phoenix_v04.jpg,.jpg,1376,768
images/entregable_C/chatgpt/H1_S01_chatgpt_v01.png,entregable_C,chatgpt,H1,H1_S01_chatgpt_v01.png,.png,1536,1024
images/entregable_C/chatgpt/H1_S08_chatgpt_v01.png,entregable_C,chatgpt,H1,H1_S08_chatgpt_v01.png,.png,1536,1024
images/entregable_C/chatgpt/H2_S01_chatgpt_v01.png,entregable_C,chatgpt,H2,H2_S01_chatgpt_v01.png,.png,1536,1024
images/entregable_C/chatgpt/H2_S08_chatgpt_v01.png,entregable_C,chatgpt,H2,H2_S08_chatgpt_v01.png,.png,1536,1024
images/entregable_C/chatgpt/H3_S01_chatgpt_v01.png,entregable_C,chatgpt,H3,H3_S01_chatgpt_v01.png,.png,1536,1024
images/entregable_C/chatgpt/H3_S07_chatgpt_v01.png,entregable_C,chatgpt,H3,H3_S07_chatgpt_v01.png,.png,1536,1024
images/entregable_C/ideogram/H1_S01_ideogram_v01.jpeg,entregable_C,ideogram,H1,H1_S01_ideogram_v01.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H1_S01_ideogram_v02.jpeg,entregable_C,ideogram,H1,H1_S01_ideogram_v02.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H1_S01_ideogram_v03.jpeg,entregable_C,ideogram,H1,H1_S01_ideogram_v03.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H1_S01_ideogram_v04.jpeg,entregable_C,ideogram,H1,H1_S01_ideogram_v04.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H1_S08_ideogram_v01.jpeg,entregable_C,ideogram,H1,H1_S08_ideogram_v01.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H1_S08_ideogram_v02.jpeg,entregable_C,ideogram,H1,H1_S08_ideogram_v02.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H1_S08_ideogram_v03.jpeg,entregable_C,ideogram,H1,H1_S08_ideogram_v03.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H1_S08_ideogram_v04.jpeg,entregable_C,ideogram,H1,H1_S08_ideogram_v04.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H2_S01_ideogram_v01.jpeg,entregable_C,ideogram,H2,H2_S01_ideogram_v01.jpeg,.jpeg,1152,864
images/entregable_C/ideogram/H2_S01_ideogram_v02.jpeg,entregable_C,ideogram,H2,H2_S01_ideogram_v02.jpeg,.jpeg,1152,864
images/entregable_C/ideogram/H2_S01_ideogram_v03.jpeg,entregable_C,ideogram,H2,H2_S01_ideogram_v03.jpeg,.jpeg,1152,864
images/entregable_C/ideogram/H2_S01_ideogram_v04.jpeg,entregable_C,ideogram,H2,H2_S01_ideogram_v04.jpeg,.jpeg,1152,864
images/entregable_C/ideogram/H2_S08_ideogram_v01.jpeg,entregable_C,ideogram,H2,H2_S08_ideogram_v01.jpeg,.jpeg,1152,864
images/entregable_C/ideogram/H2_S08_ideogram_v02.jpeg,entregable_C,ideogram,H2,H2_S08_ideogram_v02.jpeg,.jpeg,1152,864
images/entregable_C/ideogram/H2_S08_ideogram_v03.jpeg,entregable_C,ideogram,H2,H2_S08_ideogram_v03.jpeg,.jpeg,1152,864
images/entregable_C/ideogram/H2_S08_ideogram_v04.jpeg,entregable_C,ideogram,H2,H2_S08_ideogram_v04.jpeg,.jpeg,1152,864
images/entregable_C/ideogram/H3_S01_ideogram_v01.jpeg,entregable_C,ideogram,H3,H3_S01_ideogram_v01.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H3_S01_ideogram_v02.jpeg,entregable_C,ideogram,H3,H3_S01_ideogram_v02.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H3_S01_ideogram_v03.jpeg,entregable_C,ideogram,H3,H3_S01_ideogram_v03.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H3_S01_ideogram_v04.jpeg,entregable_C,ideogram,H3,H3_S01_ideogram_v04.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H3_S07_ideogram_v01.jpeg,entregable_C,ideogram,H3,H3_S07_ideogram_v01.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H3_S07_ideogram_v02.jpeg,entregable_C,ideogram,H3,H3_S07_ideogram_v02.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H3_S07_ideogram_v03.jpeg,entregable_C,ideogram,H3,H3_S07_ideogram_v03.jpeg,.jpeg,1312,736
images/entregable_C/ideogram/H3_S07_ideogram_v04.jpeg,entregable_C,ideogram,H3,H3_S07_ideogram_v04.jpeg,.jpeg,1312,736
images/entregable_C/leonardo/H1_S01_leonardo_phoenix_v01.jpg,entregable_C,leonardo,H1,H1_S01_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_C/leonardo/H1_S01_leonardo_phoenix_v02.jpg,entregable_C,leonardo,H1,H1_S01_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_C/leonardo/H1_S01_leonardo_phoenix_v03.jpg,entregable_C,leonardo,H1,H1_S01_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_C/leonardo/H1_S01_leonardo_phoenix_v04.jpg,entregable_C,leonardo,H1,H1_S01_leonardo_phoenix_v04.jpg,.jpg,1376,768
images/entregable_C/leonardo/H1_S08_leonardo_phoenix_v01.jpg,entregable_C,leonardo,H1,H1_S08_leonardo_phoenix_v01.jpg,.jpg,1376,768
images/entregable_C/leonardo/H1_S08_leonardo_phoenix_v02.jpg,entregable_C,leonardo,H1,H1_S08_leonardo_phoenix_v02.jpg,.jpg,1376,768
images/entregable_C/leonardo/H1_S08_leonardo_phoenix_v03.jpg,entregable_C,leonardo,H1,H1_S08_leonardo_phoenix_v03.jpg,.jpg,1376,768
images/entregable_C/leonardo/H1_S08_leonardo_phoenix_v04.jpg,entregable_C,leonardo,H1,H1_S08_leonardo_phoenix_v04.jpg,.jpg,1376,768
images/entregable_C/leonardo/H2_S01_leonardo_phoenix_v01.jpg,entregable_C,leonardo,H2,H2_S01_leonardo_phoenix_v01.jpg,.jpg,1184,896
images/entregable_C/leonardo/H2_S01_leonardo_phoenix_v02.jpg,entregable_C,leonardo,H2,H2_S01_leonardo_phoenix_v02.jpg,.jpg,1184,896
images/entregable_C/leonardo/H2_S01_leonardo_phoenix_v03.jpg,entregable_C,leonardo,H2,H2_S01_leonardo_phoenix_v03.jpg,.jpg,1184,896
images/entregable_C/leonardo/H2_S01_leonardo_phoenix_v04.jpg,entregable_C,leonardo,H2,H2_S01_leonardo_phoenix_v04.jpg,.jpg,1184,896
images/entregable_C/leonardo/H2_S08_leonardo_phoenix_v01.jpg,entregable_C,leonardo,H2,H2_S08_leonardo_phoenix_v01.jpg,.jpg,1184,896
images/entregable_C/leonardo/H2_S08_leonardo_phoenix_v02.jpg,entregable_C,leonardo,H2,H2_S08_leonardo_phoenix_v02.jpg,.jpg,1184,896
